,cuis,drugbankID,drugname,indication
3510,C0085394,DB00948,mezlocillin,Bacterial infection due to Serratia
3511,C0032290,DB00948,mezlocillin,Aspiration pneumonia
3512,C0276026,DB00948,mezlocillin,Haemophilus influenzae pneumonia
3513,C0276089,DB00948,mezlocillin,Pneumonia due to Escherichia coli
3514,C0153196,DB00948,mezlocillin,Acute gonococcal endometritis
3515,C0018081,DB00948,mezlocillin,Gonorrhea
3516,C0153195,DB00948,mezlocillin,Acute gonococcal cervicitis
3517,C0275652,DB00948,mezlocillin,Acute gonococcal urethritis
3518,C0343402,DB00948,mezlocillin,Bacterial infection due to Klebsiella pneumoniae
3519,C0013295,DB00501,cimetidine,Duodenal ulcer disease
3520,C0041909,DB00501,cimetidine,Upper gastrointestinal hemorrhage
3521,C0013395,DB00501,cimetidine,Indigestion
3522,C0017168,DB00501,cimetidine,Gastroesophageal reflux disease
3523,C0043515,DB00501,cimetidine,Zollinger-Ellison syndrome
3524,C0018834,DB00501,cimetidine,Heartburn
3525,C0221013,DB00501,cimetidine,Systemic mast cell disease
3526,C0027662,DB00501,cimetidine,Multiple endocrine adenomas
3527,C0038358,DB00501,cimetidine,Gastric ulcer
3528,C0015371,DB00810,biperiden,Extrapyramidal disease
3529,C0242422,DB00810,biperiden,Parkinsonism
3530,C0030567,DB00810,biperiden,Parkinson's disease
3531,C0030568,DB00810,biperiden,Postencephalitic parkinsonism
3532,C0029456,DB16004,butedronic acid,Osteoporosis
3533,C0020538,DB00264,metoprolol,Hypertensive disorder
3534,C0027051,DB00264,metoprolol,Myocardial infarction
3535,C0948089,DB00264,metoprolol,Acute coronary syndrome
3536,C0002962,DB00264,metoprolol,Angina pectoris
3537,C0264716,DB00264,metoprolol,Chronic heart failure
3538,C0010346,DB01222,budesonide,Crohn's disease
3539,C0004096,DB01222,budesonide,Asthma
3540,C2607914,DB01222,budesonide,Allergic rhinitis
3541,C1318955,DB01222,budesonide,Asthma management
3542,C1960764,DB01222,budesonide,Crohn's disease in remission
3543,C1562430,DB00697,tizanidine,Muscle spasticity of spinal origin
3544,C0026838,DB00697,tizanidine,Spasticity
3545,C0003873,DB04812,benoxaprofen,Rheumatoid arthritis
3546,C0235238,DB00979,cyclopentolate,Cycloplegia
3547,C0026961,DB00979,cyclopentolate,Dilated pupil
3548,C0393735,DB09213,dexibuprofen,Headache disorder
3549,C0030193,DB09213,dexibuprofen,Pain
3550,C0015967,DB09213,dexibuprofen,Fever
3551,C0029408,DB09213,dexibuprofen,Osteoarthritis
3552,C3495559,DB09213,dexibuprofen,Juvenile rheumatoid arthritis
3553,C0003873,DB09213,dexibuprofen,Rheumatoid arthritis
3554,C0013390,DB09213,dexibuprofen,Dysmenorrhea
3555,C0009088,DB00320,dihydroergotamine,Cluster headache syndrome
3556,C0042376,DB00320,dihydroergotamine,Vascular headache
3557,C0149931,DB00320,dihydroergotamine,Migraine
3558,C0029408,DB00712,flurbiprofen,Osteoarthritis
3559,C0003873,DB00712,flurbiprofen,Rheumatoid arthritis
3560,C0020476,DB09055,acipimox,Hyperlipoproteinemia
3561,C0401160,DB00486,nabilone,Chemotherapy-induced nausea and vomiting
3562,C0085074,DB00288,amcinonide,Granuloma annulare
3563,C0011616,DB00288,amcinonide,Contact dermatitis
3564,C0033775,DB00288,amcinonide,Pruritus ani
3565,C0079773,DB00288,amcinonide,Primary cutaneous T-cell lymphoma
3566,C0406326,DB00288,amcinonide,Scalp psoriasis
3567,C0149922,DB00288,amcinonide,Lichen simplex chronicus
3568,C0406317,DB00288,amcinonide,Plaque psoriasis
3569,C0033777,DB00288,amcinonide,Pruritus of genital organs
3570,C0011615,DB00288,amcinonide,Atopic dermatitis
3571,C0015230,DB00288,amcinonide,Eruption of skin
3572,C0024138,DB00288,amcinonide,Discoid lupus erythematosus
3573,C0036508,DB00288,amcinonide,Seborrheic dermatitis
3574,C0019829,DB00888,mechlorethamine,Hodgkin's disease
3575,C0032463,DB00888,mechlorethamine,Polycythemia vera
3576,C0242379,DB00888,mechlorethamine,Malignant tumor of lung
3577,C0024305,DB00888,mechlorethamine,Non-Hodgkin's lymphoma
3578,C0079773,DB00888,mechlorethamine,Primary cutaneous T-cell lymphoma
3579,C0023434,DB00888,mechlorethamine,"Chronic lymphoid leukemia, disease"
3580,C0023473,DB00888,mechlorethamine,Chronic myeloid leukemia
3581,C0026948,DB00888,mechlorethamine,Mycosis fungoides
3582,C0011581,DB00780,phenelzine,Depressive disorder
3583,C0020473,DB08841,tyramine,Hyperlipidemia
3584,C0020443,DB08841,tyramine,Hypercholesterolemia
3585,C0027404,DB01576,dexamfetamine,Narcolepsy
3586,C1263846,DB01576,dexamfetamine,Attention deficit hyperactivity disorder
3587,C0600177,DB00988,dopamine,Low cardiac output syndrome
3588,C0020649,DB00988,dopamine,Low blood pressure
3589,C0581377,DB00988,dopamine,Decompensated cardiac failure
3590,C0040127,DB00550,propylthiouracil,Thyrotoxic crisis
3591,C0020550,DB00550,propylthiouracil,Hyperthyroidism
3592,C0020473,DB00509,dextrothyroxine,Hyperlipidemia
3593,C0027145,DB00451,levothyroxine,Myxedema
3594,C0007115,DB00451,levothyroxine,Malignant tumor of thyroid gland
3595,C0020473,DB00451,levothyroxine,Hyperlipidemia
3596,C0010308,DB00451,levothyroxine,Congenital hypothyroidism
3597,C0020676,DB00451,levothyroxine,Hypothyroidism
3598,C0677607,DB00451,levothyroxine,Hashimoto thyroiditis
3599,C0018021,DB00451,levothyroxine,Goiter
3600,C0023467,DB05381,histamine,"Acute myeloid leukemia, disease"
3601,C0162352,DB05381,histamine,Hyposensitization to allergens
3602,C0029408,DB05381,histamine,Osteoarthritis
3603,C0002792,DB00668,epinephrine,Anaphylaxis
3604,C1318955,DB00668,epinephrine,Asthma management
3605,C0020649,DB00668,epinephrine,Low blood pressure
3606,C0006267,DB00668,epinephrine,Bronchiectasis
3607,C0347950,DB00668,epinephrine,Acute exacerbation of asthma
3608,C0017612,DB00668,epinephrine,Open-angle glaucoma
3609,C0013404,DB00668,epinephrine,Dyspnea
3610,C0006277,DB00668,epinephrine,Bronchitis
3611,C0043144,DB00668,epinephrine,Wheezing
3612,C0198813,DB00668,epinephrine,"Local anesthesia, by infiltration"
3613,C0349790,DB00668,epinephrine,Exacerbation of asthma
3614,C0034067,DB00668,epinephrine,Pulmonary emphysema
3615,C0347950,DB00368,norepinephrine,Acute exacerbation of asthma
3616,C0020649,DB00368,norepinephrine,Low blood pressure
3617,C0006277,DB00368,norepinephrine,Bronchitis
3618,C0004096,DB00368,norepinephrine,Asthma
3619,C0006267,DB00368,norepinephrine,Bronchiectasis
3620,C0034067,DB00368,norepinephrine,Pulmonary emphysema
3621,C1318955,DB00368,norepinephrine,Asthma management
3622,C1260880,DB00747,scopolamine,Nasal discharge
3623,C0152253,DB00747,scopolamine,Posterior synechiae
3624,C0035460,DB00747,scopolamine,Vasomotor rhinitis
3625,C0042164,DB00747,scopolamine,Uveitis
3626,C0030920,DB00747,scopolamine,Peptic ulcer
3627,C0026961,DB00747,scopolamine,Dilated pupil
3628,C0022104,DB00747,scopolamine,Irritable bowel syndrome
3629,C0027424,DB00747,scopolamine,Nasal congestion
3630,C0235238,DB00747,scopolamine,Cycloplegia
3631,C2607914,DB00747,scopolamine,Allergic rhinitis
3632,C0010200,DB00747,scopolamine,Cough
3633,C0022073,DB00747,scopolamine,Iridocyclitis
3634,C0026603,DB00747,scopolamine,Motion sickness
3635,C0009443,DB00747,scopolamine,Common cold
3636,C0281361,DB00544,fluorouracil,Adenocarcinoma of pancreas
3637,C0007102,DB00544,fluorouracil,Malignant tumor of colon
3638,C0862889,DB00544,fluorouracil,Superficial basal cell carcinoma
3639,C1282500,DB00544,fluorouracil,Metastasis from malignant tumor of colon
3640,C0022602,DB00544,fluorouracil,Actinic keratosis
3641,C0024623,DB00544,fluorouracil,Malignant tumor of stomach
3642,C1140680,DB14031,tretamine,Malignant tumor of ovary
3643,C0030757,DB09350,piperonyl butoxide,Pediculosis capitis
3644,C0030759,DB09350,piperonyl butoxide,Infestation by Phthirus pubis
3645,C0030758,DB09350,piperonyl butoxide,Pediculosis corporis
3646,C0018081,DB01602,bacampicillin,Gonorrhea
3647,C0178299,DB01602,bacampicillin,Infection of skin AND/OR subcutaneous tissue
3648,C0042029,DB01602,bacampicillin,Urinary tract infectious disease
3649,C0031350,DB01602,bacampicillin,Pharyngitis
3650,C0037199,DB01602,bacampicillin,Sinusitis
3651,C0276026,DB01602,bacampicillin,Haemophilus influenzae pneumonia
3652,C0729586,DB01602,bacampicillin,Infective otitis media
3653,C0026705,DB01271,idursulfase,"Mucopolysaccharidosis, MPS-II"
3654,C0524662,DB01433,acetylmethadol,Opioid dependence
3655,C0004096,DB05266,ibudilast,Asthma
3656,C1269683,DB09068,vortioxetine,Major depressive disorder
3657,C0578870,DB00342,terfenadine,Chronic idiopathic urticaria
3658,C0027424,DB00342,terfenadine,Nasal congestion
3659,C0037383,DB00342,terfenadine,Sneezing
3660,C1260880,DB00342,terfenadine,Nasal discharge
3661,C0018621,DB00342,terfenadine,Seasonal allergic rhinitis
3662,C0009443,DB00342,terfenadine,Common cold
3663,C0009766,DB00342,terfenadine,Allergic conjunctivitis
3664,C2607914,DB00342,terfenadine,Allergic rhinitis
3665,C0035460,DB00342,terfenadine,Vasomotor rhinitis
3666,C0020538,DB00629,guanabenz,Hypertensive disorder
3667,C0026769,DB06637,fampridine,Multiple sclerosis
3668,C0042029,DB01140,cefadroxil,Urinary tract infectious disease
3669,C0554628,DB01140,cefadroxil,Streptococcus pyogenes infection
3670,C0577709,DB01140,cefadroxil,Proteus urinary tract infection
3671,C0520775,DB01140,cefadroxil,Klebsiella cystitis
3672,C0577708,DB01140,cefadroxil,Escherichia coli urinary tract infection
3673,C0178299,DB01140,cefadroxil,Infection of skin AND/OR subcutaneous tissue
3674,C0040425,DB01140,cefadroxil,Tonsillitis
3675,C0275804,DB01140,cefadroxil,Streptococcal tonsillitis
3676,C1318973,DB01140,cefadroxil,Infection due to Staphylococcus aureus
3677,C0155749,DB06605,apixaban,Arterial embolus and thrombosis
3678,C0004096,DB09082,vilanterol,Asthma
3679,C0008677,DB09082,vilanterol,Chronic bronchitis
3680,C0034067,DB09082,vilanterol,Pulmonary emphysema
3681,C0024117,DB09082,vilanterol,Chronic obstructive lung disease
3682,C0242379,DB06266,lonidamine,Malignant tumor of lung
3683,C0751362,DB09072,sodium oxybate,Cataplexy and narcolepsy
3684,C0027404,DB09072,sodium oxybate,Narcolepsy
3685,C0002962,DB09069,trimetazidine,Angina pectoris
3686,C2316212,DB06372,rilonacept,Cryopyrin associated periodic syndrome
3687,C0019693,DB08864,rilpivirine,Human immunodeficiency virus infection
3688,C0024535,DB01131,proguanil,Falciparum malaria
3689,C0345904,DB00322,floxuridine,Malignant neoplasm of liver
3690,C1306632,DB00322,floxuridine,Primary malignant neoplasm of gastrointestinal tract
3691,C1623040,DB00126,ascorbic acid,Breastfeeding (mother)
3692,C0003969,DB00126,ascorbic acid,Ascorbic acid deficiency
3693,C0003873,DB00945,acetylsalicylic acid,Rheumatoid arthritis
3694,C0392171,DB00945,acetylsalicylic acid,Influenza-like symptoms
3695,C0149931,DB00945,acetylsalicylic acid,Migraine
3696,C0004604,DB00945,acetylsalicylic acid,Backache
3697,C0029408,DB00945,acetylsalicylic acid,Osteoarthritis
3698,C0393735,DB00945,acetylsalicylic acid,Headache disorder
3699,C0009443,DB00945,acetylsalicylic acid,Common cold
3700,C0030193,DB00945,acetylsalicylic acid,Pain
3701,C0037195,DB00945,acetylsalicylic acid,Sinus headache
3702,C0040460,DB00945,acetylsalicylic acid,Toothache
3703,C0027051,DB00945,acetylsalicylic acid,Myocardial infarction
3704,C0003862,DB00945,acetylsalicylic acid,Joint pain
3705,C1135868,DB00970,dactinomycin,Gestational trophoblastic neoplasia
3706,C0027708,DB00970,dactinomycin,Nephroblastoma
3707,C0035412,DB00970,dactinomycin,Rhabdomyosarcoma
3708,C0553580,DB00970,dactinomycin,Ewing's sarcoma
3709,C0153594,DB00970,dactinomycin,Malignant tumor of testis
3710,C0085096,DB00692,phentolamine,Peripheral vascular disease
3711,C0031511,DB00692,phentolamine,Pheochromocytoma
3712,C0917798,DB00692,phentolamine,Cerebral ischemia
3713,C0221154,DB00692,phentolamine,Paroxysmal hypertension
3714,C0156543,DB00107,oxytocin,Pregnancy with abortive outcome
3715,C0259787,DB00107,oxytocin,Induction of labor
3716,C0032797,DB00107,oxytocin,Postpartum hemorrhage
3717,C0000810,DB00107,oxytocin,Incomplete miscarriage
3718,C0033975,DB00206,reserpine,Psychotic disorder
3719,C0020538,DB00206,reserpine,Hypertensive disorder
3720,C0036341,DB00477,chlorpromazine,Schizophrenia
3721,C0338873,DB00477,chlorpromazine,"Bipolar affective disorder, current episode manic"
3722,C0027498,DB00477,chlorpromazine,Nausea and vomiting
3723,C0162565,DB00477,chlorpromazine,Acute intermittent porphyria
3724,C0033975,DB00477,chlorpromazine,Psychotic disorder
3725,C0012734,DB00477,chlorpromazine,Disruptive behavior disorder
3726,C0011581,DB00458,imipramine,Depressive disorder
3727,C0270327,DB00458,imipramine,Nocturnal enuresis
3728,C0338908,DB00321,amitriptyline,Mixed anxiety and depressive disorder
3729,C0011581,DB00321,amitriptyline,Depressive disorder
3730,C0011581,DB01151,desipramine,Depressive disorder
3731,C0023487,DB01033,mercaptopurine,"Acute promyelocytic leukemia, FAB M3"
3732,C0023449,DB01033,mercaptopurine,Acute lymphoid leukemia
3733,C0002921,DB00907,cocaine,Local anesthesia
3734,C0026764,DB01041,thalidomide,Multiple myeloma
3735,C0343467,DB01041,thalidomide,Erythema nodosum leprosum
3736,C0700589,DB00783,estradiol,Contraception
3737,C0221392,DB00783,estradiol,Atrophic vaginitis
3738,C0520577,DB00783,estradiol,Urethral atrophy
3739,C0520676,DB00783,estradiol,Premenstrual dysphoric disorder
3740,C0001144,DB00783,estradiol,Acne vulgaris
3741,C0271606,DB00783,estradiol,Primary ovarian failure
3742,C0156393,DB00783,estradiol,Atrophic vulva
3743,C0029458,DB00783,estradiol,Postmenopausal osteoporosis
3744,C0271578,DB00783,estradiol,Female hypogonadism syndrome
3745,C0600142,DB00783,estradiol,Menopausal flushing
3746,C0032305,DB00860,prednisolone,Pneumocystosis jiroveci pneumonia
3747,C0149922,DB00860,prednisolone,Lichen simplex chronicus
3748,C0029077,DB00860,prednisolone,Sympathetic uveitis
3749,C0026948,DB00860,prednisolone,Mycosis fungoides
3750,C0009324,DB00860,prednisolone,Ulcerative colitis
3751,C1527407,DB00860,prednisolone,Eosinophilic asthma
3752,C0001403,DB00860,prednisolone,Primary adrenocortical insufficiency
3753,C0026857,DB00860,prednisolone,Disorder of musculoskeletal system
3754,C0003868,DB00860,prednisolone,Articular gout
3755,C0151467,DB00860,prednisolone,Severe adrenal insufficiency
3756,C0015397,DB00860,prednisolone,Disorder of eye
3757,C0039103,DB00860,prednisolone,Synovitis
3758,C0854211,DB00860,prednisolone,Bacterial keratitis
3759,C0015230,DB00860,prednisolone,Eruption of skin
3760,C0036830,DB00860,prednisolone,Transfusion reaction due to serum protein reaction
3761,C0026769,DB00860,prednisolone,Multiple sclerosis
3762,C1527336,DB00860,prednisolone,Sj??gren's syndrome
3763,C0027726,DB00860,prednisolone,Nephrotic syndrome
3764,C0043117,DB00860,prednisolone,Idiopathic thrombocytopenic purpura
3765,C0349790,DB00860,prednisolone,Exacerbation of asthma
3766,C0003872,DB00860,prednisolone,Psoriasis with arthropathy
3767,C0038325,DB00860,prednisolone,Stevens-Johnson syndrome
3768,C0035439,DB00860,prednisolone,Rheumatic heart disease
3769,C3495559,DB00860,prednisolone,Juvenile rheumatoid arthritis
3770,C0010543,DB00860,prednisolone,Cyclitis
3771,C0085074,DB00860,prednisolone,Granuloma annulare
3772,C0033777,DB00860,prednisolone,Pruritus of genital organs
3773,C0024301,DB00860,prednisolone,Follicular non-Hodgkin's lymphoma
3774,C0021390,DB00860,prednisolone,Inflammatory bowel disease
3775,C0022568,DB00860,prednisolone,Keratitis
3776,C0038013,DB00860,prednisolone,Ankylosing spondylitis
3777,C0423234,DB00860,prednisolone,Punctate keratopathy
3778,C0024138,DB00860,prednisolone,Discoid lupus erythematosus
3779,C0010346,DB00860,prednisolone,Crohn's disease
3780,C0033860,DB00860,prednisolone,Psoriasis
3781,C0004096,DB00860,prednisolone,Asthma
3782,C0242459,DB00860,prednisolone,L??ffler's syndrome
3783,C0010032,DB00860,prednisolone,Corneal abrasion
3784,C0042164,DB00860,prednisolone,Uveitis
3785,C0024305,DB00860,prednisolone,Non-Hodgkin's lymphoma
3786,C0011615,DB00860,prednisolone,Atopic dermatitis
3787,C0023449,DB00860,prednisolone,Acute lymphoid leukemia
3788,C0014742,DB00860,prednisolone,Erythema multiforme
3789,C0024141,DB00860,prednisolone,Systemic lupus erythematosus
3790,C0405580,DB00860,prednisolone,Adrenal cortical hypofunction
3791,C0701163,DB00860,prednisolone,Adrenogenital disorder
3792,C0022073,DB00860,prednisolone,Iridocyclitis
3793,C0011606,DB00860,prednisolone,Erythroderma
3794,C0030807,DB00860,prednisolone,Pemphigus
3795,C0406486,DB00860,prednisolone,Ocular rosacea
3796,C0729587,DB00860,prednisolone,Infective blepharitis
3797,C0005138,DB00860,prednisolone,Berylliosis
3798,C1260899,DB00860,prednisolone,Congenital hypoplastic anemia
3799,C0006444,DB00860,prednisolone,Bursitis
3800,C0014488,DB00860,prednisolone,Epicondylitis
3801,C0549398,DB00860,prednisolone,Meibomianitis
3802,C0154301,DB00860,prednisolone,Acquired thrombocytopenia
3803,C0039483,DB00860,prednisolone,Giant cell arteritis
3804,C1275687,DB00860,prednisolone,Herpes zoster keratitis
3805,C0036202,DB00860,prednisolone,Sarcoidosis
3806,C0011616,DB00860,prednisolone,Contact dermatitis
3807,C0004031,DB00860,prednisolone,Allergic bronchopulmonary aspergillosis
3808,C0036508,DB00860,prednisolone,Seborrheic dermatitis
3809,C2894027,DB00860,prednisolone,Post traumatic osteoarthritis
3810,C0345468,DB00860,prednisolone,Transplanted organ rejection
3811,C0004364,DB00860,prednisolone,Autoimmune disease
3812,C0406326,DB00860,prednisolone,Scalp psoriasis
3813,C0010043,DB00860,prednisolone,Corneal ulcer
3814,C0035854,DB00860,prednisolone,Rosacea
3815,C0079773,DB00860,prednisolone,Primary cutaneous T-cell lymphoma
3816,C0002390,DB00860,prednisolone,Extrinsic allergic alveolitis
3817,C0040147,DB00860,prednisolone,Thyroiditis
3818,C0011608,DB00860,prednisolone,Dermatitis herpetiformis
3819,C0406317,DB00860,prednisolone,Plaque psoriasis
3820,C0032533,DB00860,prednisolone,Polymyalgia rheumatica
3821,C0009768,DB00860,prednisolone,Bacterial conjunctivitis
3822,C0033775,DB00860,prednisolone,Pruritus ani
3823,C0010930,DB00860,prednisolone,Dacryocystitis
3824,C0003873,DB00860,prednisolone,Rheumatoid arthritis
3825,C0002994,DB00860,prednisolone,Angioedema
3826,C0002880,DB00860,prednisolone,Autoimmune hemolytic anemia
3827,C0037274,DB00860,prednisolone,Disorder of skin
3828,C0001627,DB00860,prednisolone,Congenital adrenal hyperplasia
3829,C0039520,DB00860,prednisolone,Tenosynovitis
3830,C0005743,DB00860,prednisolone,Blepharoconjunctivitis
3831,C0022081,DB00860,prednisolone,Iritis
3832,C0006114,DB00860,prednisolone,Cerebral edema
3833,C2607914,DB00860,prednisolone,Allergic rhinitis
3834,C0149911,DB00860,prednisolone,Humoral hypercalcemia of malignancy
3835,C0041321,DB00860,prednisolone,Miliary tuberculosis
3836,C0039503,DB00860,prednisolone,Tendinitis
3837,C0019829,DB00860,prednisolone,Hodgkin's disease
3838,C0034069,DB00860,prednisolone,Fibrosis of lung
3839,C0009766,DB00860,prednisolone,Allergic conjunctivitis
3840,C1761609,DB00860,prednisolone,Aspiration pneumonitis
3841,C0023052,DB00860,prednisolone,Edema of larynx
3842,C0005743,DB00741,hydrocortisone,Blepharoconjunctivitis
3843,C0854211,DB00741,hydrocortisone,Bacterial keratitis
3844,C0042164,DB00741,hydrocortisone,Uveitis
3845,C0006114,DB00741,hydrocortisone,Cerebral edema
3846,C0035439,DB00741,hydrocortisone,Rheumatic heart disease
3847,C0023052,DB00741,hydrocortisone,Edema of larynx
3848,C0027726,DB00741,hydrocortisone,Nephrotic syndrome
3849,C1274321,DB00741,hydrocortisone,Recurrent herpes simplex labialis
3850,C0010032,DB00741,hydrocortisone,Corneal abrasion
3851,C0010346,DB00741,hydrocortisone,Crohn's disease
3852,C0033246,DB00741,hydrocortisone,Proctitis
3853,C0149922,DB00741,hydrocortisone,Lichen simplex chronicus
3854,C0024141,DB00741,hydrocortisone,Systemic lupus erythematosus
3855,C0003873,DB00741,hydrocortisone,Rheumatoid arthritis
3856,C0345468,DB00741,hydrocortisone,Transplanted organ rejection
3857,C0021390,DB00741,hydrocortisone,Inflammatory bowel disease
3858,C0022568,DB00741,hydrocortisone,Keratitis
3859,C0729587,DB00741,hydrocortisone,Infective blepharitis
3860,C0015230,DB00741,hydrocortisone,Eruption of skin
3861,C0039103,DB00741,hydrocortisone,Synovitis
3862,C1275687,DB00741,hydrocortisone,Herpes zoster keratitis
3863,C0038363,DB00741,hydrocortisone,Aphthous ulcer of mouth
3864,C0002994,DB00741,hydrocortisone,Angioedema
3865,C0149911,DB00741,hydrocortisone,Humoral hypercalcemia of malignancy
3866,C0010043,DB00741,hydrocortisone,Corneal ulcer
3867,C1260899,DB00741,hydrocortisone,Congenital hypoplastic anemia
3868,C0026769,DB00741,hydrocortisone,Multiple sclerosis
3869,C0033860,DB00741,hydrocortisone,Psoriasis
3870,C1761609,DB00741,hydrocortisone,Aspiration pneumonitis
3871,C0701163,DB00741,hydrocortisone,Adrenogenital disorder
3872,C0022073,DB00741,hydrocortisone,Iridocyclitis
3873,C0024138,DB00741,hydrocortisone,Discoid lupus erythematosus
3874,C0030807,DB00741,hydrocortisone,Pemphigus
3875,C0011608,DB00741,hydrocortisone,Dermatitis herpetiformis
3876,C0039520,DB00741,hydrocortisone,Tenosynovitis
3877,C0001144,DB00741,hydrocortisone,Acne vulgaris
3878,C0040896,DB00741,hydrocortisone,Infection by larvae of Trichinella spiralis
3879,C0023449,DB00741,hydrocortisone,Acute lymphoid leukemia
3880,C0040259,DB00741,hydrocortisone,Tinea pedis
3881,C0395818,DB00741,hydrocortisone,Malignant otitis externa due to Pseudomonas aeruginosa
3882,C0009766,DB00741,hydrocortisone,Allergic conjunctivitis
3883,C0036508,DB00741,hydrocortisone,Seborrheic dermatitis
3884,C0035854,DB00741,hydrocortisone,Rosacea
3885,C0085074,DB00741,hydrocortisone,Granuloma annulare
3886,C0036830,DB00741,hydrocortisone,Transfusion reaction due to serum protein reaction
3887,C0019829,DB00741,hydrocortisone,Hodgkin's disease
3888,C0021355,DB00741,hydrocortisone,Infective otitis externa
3889,C0011606,DB00741,hydrocortisone,Erythroderma
3890,C0024305,DB00741,hydrocortisone,Non-Hodgkin's lymphoma
3891,C0154301,DB00741,hydrocortisone,Acquired thrombocytopenia
3892,C0242459,DB00741,hydrocortisone,L??ffler's syndrome
3893,C0040147,DB00741,hydrocortisone,Thyroiditis
3894,C0033775,DB00741,hydrocortisone,Pruritus ani
3895,C0011615,DB00741,hydrocortisone,Atopic dermatitis
3896,C0006444,DB00741,hydrocortisone,Bursitis
3897,C0406317,DB00741,hydrocortisone,Plaque psoriasis
3898,C0004096,DB00741,hydrocortisone,Asthma
3899,C0014742,DB00741,hydrocortisone,Erythema multiforme
3900,C0003868,DB00741,hydrocortisone,Articular gout
3901,C1384589,DB00741,hydrocortisone,Tinea cruris
3902,C0849907,DB00741,hydrocortisone,Itching of ear
3903,C0019112,DB00741,hydrocortisone,Hemorrhoids
3904,C0003872,DB00741,hydrocortisone,Psoriasis with arthropathy
3905,C0151467,DB00741,hydrocortisone,Severe adrenal insufficiency
3906,C0033777,DB00741,hydrocortisone,Pruritus of genital organs
3907,C0405580,DB00741,hydrocortisone,Adrenal cortical hypofunction
3908,C0079773,DB00741,hydrocortisone,Primary cutaneous T-cell lymphoma
3909,C0022081,DB00741,hydrocortisone,Iritis
3910,C0040252,DB00741,hydrocortisone,Tinea corporis
3911,C2894027,DB00741,hydrocortisone,Post traumatic osteoarthritis
3912,C0010543,DB00741,hydrocortisone,Cyclitis
3913,C0406326,DB00741,hydrocortisone,Scalp psoriasis
3914,C0001403,DB00741,hydrocortisone,Primary adrenocortical insufficiency
3915,C0026948,DB00741,hydrocortisone,Mycosis fungoides
3916,C3875321,DB00741,hydrocortisone,Inflammatory dermatosis
3917,C2607914,DB00741,hydrocortisone,Allergic rhinitis
3918,C0004364,DB00741,hydrocortisone,Autoimmune disease
3919,C2937222,DB00741,hydrocortisone,Chronic ulcerative proctitis
3920,C0011616,DB00741,hydrocortisone,Contact dermatitis
3921,C0029878,DB00741,hydrocortisone,Otitis externa
3922,C0009324,DB00741,hydrocortisone,Ulcerative colitis
3923,C0039503,DB00741,hydrocortisone,Tendinitis
3924,C0002880,DB00741,hydrocortisone,Autoimmune hemolytic anemia
3925,C0015397,DB00741,hydrocortisone,Disorder of eye
3926,C0036202,DB00741,hydrocortisone,Sarcoidosis
3927,C0005138,DB00741,hydrocortisone,Berylliosis
3928,C0026857,DB00741,hydrocortisone,Disorder of musculoskeletal system
3929,C0043117,DB00741,hydrocortisone,Idiopathic thrombocytopenic purpura
3930,C0038013,DB00741,hydrocortisone,Ankylosing spondylitis
3931,C0423234,DB00741,hydrocortisone,Punctate keratopathy
3932,C0033774,DB04398,lactic acid,Itching of skin
3933,C0024299,DB00531,cyclophosphamide,Malignant lymphoma
3934,C0026764,DB00531,cyclophosphamide,Multiple myeloma
3935,C0026948,DB00531,cyclophosphamide,Mycosis fungoides
3936,C0027819,DB00531,cyclophosphamide,Neuroblastoma
3937,C0035335,DB00531,cyclophosphamide,Retinoblastoma
3938,C0678222,DB00531,cyclophosphamide,Carcinoma of breast
3939,C0029458,DB00153,ergocalciferol,Postmenopausal osteoporosis
3940,C0042870,DB00153,ergocalciferol,Vitamin D deficiency
3941,C0020598,DB00153,ergocalciferol,Hypocalcemia
3942,C0029442,DB00153,ergocalciferol,Osteomalacia
3943,C1960644,DB00153,ergocalciferol,Prevention of dental caries
3944,C0035579,DB00153,ergocalciferol,Rickets
3945,C1510471,DB00153,ergocalciferol,Vitamin deficiency
3946,C0029456,DB00153,ergocalciferol,Osteoporosis
3947,C3536984,DB00153,ergocalciferol,Familial x-linked hypophosphatemic vitamin D refractory rickets
3948,C0020626,DB00153,ergocalciferol,Hypoparathyroidism
3949,C0014544,DB00532,mephenytoin,Epilepsy
3950,C0234978,DB00532,mephenytoin,Motor cortex epilepsy
3951,C0014547,DB00532,mephenytoin,Localization-related epilepsy
3952,C2711653,DB00532,mephenytoin,Epilepsy characterized by intractable complex partial seizures
3953,C0014549,DB00463,metharbital,Tonic-clonic epilepsy
3954,C0917801,DB00463,metharbital,Insomnia
3955,C0014544,DB00463,metharbital,Epilepsy
3956,C0281361,DB00305,mitomycin,Adenocarcinoma of pancreas
3957,C0234974,DB01174,phenobarbital,Simple partial seizure
3958,C0270425,DB01174,phenobarbital,Bipolar disorder in remission
3959,C0042376,DB01174,phenobarbital,Vascular headache
3960,C0238111,DB01174,phenobarbital,Lennox-Gastaut syndrome
3961,C0014544,DB01174,phenobarbital,Epilepsy
3962,C0494475,DB01174,phenobarbital,Tonic-clonic seizure
3963,C0009088,DB01174,phenobarbital,Cluster headache syndrome
3964,C0149931,DB01174,phenobarbital,Migraine
3965,C0014549,DB01174,phenobarbital,Tonic-clonic epilepsy
3966,C2711653,DB01174,phenobarbital,Epilepsy characterized by intractable complex partial seizures
